"","Site","Plot","AspectYr2","Yr2NVC","pHYr2","SOMYr2","MSG","LiveBasalAreaYr2","mean_dbh","tree density","plot_richness","ShortNVC"
"332",69,12,270,"W16b",4.23,11.70612,3,2.654645792,15.11,0.29,14,"W16"
"333",69,13,270,"OV27d",5.743,11.46016,3,1.957604922,16.56,0.225,20,"OV27"
"334",69,14,270,"W16b",3.973,15.98549,3,1.195768704,11.18,0.625,9,"W16"
"335",69,15,270,"W8e",4.644,17.60674,3,2.986476516,11.07,0.36,23,"W8"
"336",69,16,270,"W10c",5.666,12.85597,5,NA,NA,NA,29,"W10"
"337",70,1,180,"W21",7.48,10.10836,5,0.803069622,9.3,0.34,17,"W21"
"338",70,2,180,"OV27d",7.636,9.005829,3,2.097013096,11.32,0.6,16,"OV27"
"339",70,3,0,"OV27d",4.752,7.415287,5,1.111338401,18.33,0.19,9,"OV27"
"340",70,4,180,"OV27",5.031,7.30057,5,0.019634954,11.91,0.16,14,"OV27"
"341",70,5,180,"W10d",4.392,20.24438,5,0.003926991,7.5,0.16,12,"W10"
"342",70,6,180,"OV27d",5.855,6.161366,3,0.280779843,10.83,0.275,18,"OV27"
"343",70,7,0,"OV27",6.43,10.58611,3,0.261144889,9.25,0.135,18,"OV27"
"344",70,8,0,"OV27d",5.142,6.987336,3,0.734347283,16.73,0.185,15,"OV27"
"345",70,9,0,"OV27d",6.518,10.25032,3,3.544109212,50.5,0.24,10,"OV27"
"346",70,10,180,"OV27d",5.44,9.198757,5,1.843722189,49.17,0.14,13,"OV27"
"347",70,11,0,"W21a",6.098,9.674687,5,3.91717334,57.5,0.165,9,"W21"
"348",70,12,0,"OV27d",5.444,9.207661,5,0.877682448,11.54,0.235,18,"OV27"
"349",70,13,180,"W10d",4.815,8.764614,5,1.429424657,16,0.27,11,"W10"
"350",70,14,0,"OV27d",6.499,7.06361,5,1.344994355,32.5,0.15,11,"OV27"
"351",70,15,180,"W21a",6.479,12.37815,5,0.001963495,7.5,0.01,10,"W21"
"352",70,16,0,"W12",7.302,9.376308,5,3.958406744,28.27,0.335,18,"W12"
"353",71,1,350,"W21",7.3,24,5,0.200276532,7.87,0.935,36,"W21"
"354",71,2,340,"W6",4.5,9.8,5,0.79521564,11.16,1.265,25,"W6"
"355",71,3,NA,"W8d",5.3,8.6,5,0.673478925,12.13,0.395,25,"W8"
"356",71,4,180,"W21",5.2,15.6,5,1.344994355,10.55,1.24,19,"W21"
"357",71,5,NA,"OV27d",4.7,9.5,5,2.002765317,10.17,1.335,15,"OV27"
"358",71,6,140,"OV27d",4.7,9.8,5,0.512472302,9.78,1.39,14,"OV27"
"359",71,7,160,"W21b",5.6,8.3,5,0.416261027,10.68,0.36,21,"W21"
