SITE,PLOT,BRC,DBH_class,Count,Yr,BRC names
95,11,9204446,2,1,2,Quercus seedling/sp
95,11,9205,2,2,2,Acer pseudoplatanus
95,11,9205,3,1,2,Acer pseudoplatanus
95,11,9204442,3,1,2,Larix sp.
95,11,9205,4,1,2,Acer pseudoplatanus
95,11,9204446,5,1,2,Quercus seedling/sp
95,11,9204446,7,1,2,Quercus seedling/sp
95,11,9204446,9,1,2,Quercus seedling/sp
95,12,9201960,1,2,2,Sorbus aucuparia
95,12,9201023,1,15,2,Ilex aquifolium
95,12,9201023,1,24,2,Ilex aquifolium
95,12,9201960,2,1,2,Sorbus aucuparia
95,12,9204445,2,2,2,Betula seedling/sp
95,12,9201023,2,5,2,Ilex aquifolium
95,12,9201023,3,3,2,Ilex aquifolium
95,12,9201960,4,1,2,Sorbus aucuparia
95,12,9201023,4,3,2,Ilex aquifolium
95,12,9201960,5,1,2,Sorbus aucuparia
95,12,9201023,5,2,2,Ilex aquifolium
95,12,9201023,6,1,2,Ilex aquifolium
95,12,9201960,7,1,2,Sorbus aucuparia
95,12,9204446,10,1,2,Quercus seedling/sp
95,13,9201023,1,2,2,Ilex aquifolium
95,13,9201960,1,4,2,Sorbus aucuparia
95,13,9205,1,6,2,Acer pseudoplatanus
95,13,920557,1,6,2,Corylus avellana
95,13,920810,1,6,2,Fagus sylvatica
95,13,9204445,1,8,2,Betula seedling/sp
95,13,9204446,1,8,2,Quercus seedling/sp
95,13,9201023,1,24,2,Ilex aquifolium
95,13,9205178,2,1,2,Pseudotsuga spp.
95,13,9204442,2,1,2,Larix sp.
95,13,9205,2,2,2,Acer pseudoplatanus
95,13,920810,2,2,2,Fagus sylvatica
95,13,9201023,2,2,2,Ilex aquifolium
95,13,92077,2,3,2,Alnus glutinosa
95,13,9204446,2,9,2,Quercus seedling/sp
95,13,9204445,2,15,2,Betula seedling/sp
95,13,920810,3,1,2,Fagus sylvatica
95,13,9204442,3,1,2,Larix sp.
95,13,9204446,3,1,2,Quercus seedling/sp
95,13,9204445,3,4,2,Betula seedling/sp
95,13,9201960,6,1,2,Sorbus aucuparia
95,13,9204442,6,1,2,Larix sp.
95,13,9204446,10,2,2,Quercus seedling/sp
95,14,9204546,1,2,2,Pinus sp./seedling
95,14,9201960,1,4,2,Sorbus aucuparia
95,14,9201023,1,8,2,Ilex aquifolium
95,14,9204446,1,8,2,Quercus seedling/sp
95,14,920810,1,10,2,Fagus sylvatica
95,14,920810,2,1,2,Fagus sylvatica
95,14,9201960,2,1,2,Sorbus aucuparia
95,14,9201023,2,2,2,Ilex aquifolium
95,14,9201023,3,2,2,Ilex aquifolium
95,14,9204446,4,1,2,Quercus seedling/sp
95,14,9201960,5,1,2,Sorbus aucuparia
95,14,9204446,9,1,2,Quercus seedling/sp
95,14,9204446,10,2,2,Quercus seedling/sp
95,14,9204446,12,1,2,Quercus seedling/sp
95,14,9204446,16,1,2,Quercus seedling/sp
95,15,9205,1,2,2,Acer pseudoplatanus
95,15,9201960,1,2,2,Sorbus aucuparia
95,15,9204445,1,2,2,Betula seedling/sp
95,15,9204446,1,2,2,Quercus seedling/sp
95,15,9204446,1,3,2,Quercus seedling/sp
95,15,9201023,1,6,2,Ilex aquifolium
95,15,920557,1,12,2,Corylus avellana
95,15,920810,1,12,2,Fagus sylvatica
95,15,9201023,1,18,2,Ilex aquifolium
95,15,9201960,2,1,2,Sorbus aucuparia
95,15,9204445,2,1,2,Betula seedling/sp
95,15,9204446,2,2,2,Quercus seedling/sp
95,15,9201023,2,3,2,Ilex aquifolium
95,15,920810,3,1,2,Fagus sylvatica
95,15,9204442,3,1,2,Larix sp.
95,15,920810,5,1,2,Fagus sylvatica
95,15,920810,25,1,2,Fagus sylvatica
95,16,9205,1,2,2,Acer pseudoplatanus
95,16,9201023,1,6,2,Ilex aquifolium
95,16,9201023,1,13,2,Ilex aquifolium
95,16,9201960,2,1,2,Sorbus aucuparia
95,16,9201023,2,3,2,Ilex aquifolium
