Site,Plot,alpha,cover,allelos,lba,som,pH,amtrees,amcover,nvc,ms,flag
65,3,2,5.5,4,1.356775327,15.18609,7.066,416.2610266,193,W14,em,t
65,4,15,42,1,3.188716543,14.0303,7.51,31.41592654,180,W10,em,t
65,5,7,52,1,1.030835089,19.78786,7.041,109.9557429,190,OV27,am,o
65,6,9,78.5,5,3.296708791,14.84375,7.009,365.210146,183,W8,am,t
65,7,3,11.5,0,3.275110341,18.74788,7.807,208.1305133,151,W10,em,t
65,8,5,16.5,1,1.87317462,16.9837,6.755,341.6482011,162,OV27,am,o
65,9,13,21,1,2.744966581,18.35581,7.723,640.0995032,363,OV27,am,o
65,11,9,79.5,4,1.735729941,17.5198,7.71,365.210146,152,W21,am,o
65,12,5,28,1,4.054618019,25.13789,7.232,294.5243113,182,OV27,am,o
65,13,4,22,1,2.591813939,17.54498,8.078,239.5464398,34,OV27,am,o
65,14,2,1,2,2.411172362,17.10063,8.087,380.9181092,262,OV27,am,o
65,15,10,36,0,2.784236489,10.70326,7.763,180.6415776,114,W8,am,t
65,16,3,1.5,0,3.1219577,14.39011,7.387,966.039741,230,W10,em,t
66,1,18,26,2,1.207549676,7.99,4.961,86.39379797,201,W6,d,w
66,2,36,117,2,0.989601686,14.4,5.093,86.39379797,44,M23,am,w
66,3,15,88.5,0,0.956222264,11.4,5.339,0,5,MG10,am,o
66,4,21,81.5,0,1.551161373,11.1,5.431,0,24,W10,em,t
66,5,20,53,0,1.119192383,18.3,4.804,0,16,W6,d,w
66,6,15,15.5,1,2.083268628,12,5.443,58.90486225,36,W10,em,t
66,7,20,98.5,4,1.596321767,10.8,4.631,219.9114858,27,W6,d,w
66,8,13,26,0,1.80445228,6.41,4.893,31.41592654,7,W10,em,t
66,9,43,112,3,1.29983396,7.43,5.587,145.2986602,34,W6,d,w
66,10,23,162.5,0,,7.97,5.128,,0,MG7,am,o
66,11,30,129,1,1.908517537,12.6,5.577,66.75884389,2,W1,am,t
66,12,39,104,0,1.276272016,8.78,4.743,35.34291735,6,W6,d,w
66,13,9,8,1,0.007853982,,,19.63495408,200,OV27,am,o
66,14,12,12.5,0,0.005890486,20.1,4.932,70.68583471,201,W4,em,t
66,15,22,39.5,1,4.411974183,8.29,5.155,62.83185307,184,W10,em,t
66,16,25,18,7,1.651299639,9.72,5.282,428.0419991,185,W8,am,t
67,1,3,2,2,1.060287521,10.39636,4.854,70.68583471,1,OV27,am,o
67,3,9,5.5,2,1.136863842,9.147363,5.445,129.590697,11,OV27,am,o
67,4,9,61.5,1,0.388772091,7.564698,5.311,149.225651,60,W14,em,t
67,5,6,12.5,0,0.628318531,5.907206,4.586,78.53981634,2,W14,em,t
67,6,2,45,1,3.133738672,6.740464,4.063,0,1,W16,em,t
67,7,4,6.5,1,0.500691329,4.119277,4.766,90.32078879,20,OV27,am,o
67,8,14,123,1,0.750055246,4.547006,4.276,102.1017612,23,W10,em,t
67,9,8,82.5,0,3.769911184,9.663099,4.108,31.41592654,53,W10,em,t
67,10,15,107,4,1.667007602,6.551514,5.39,742.2012644,11,W12,am,t
67,11,8,126.5,0,0.178678082,5.932701,4.758,27.48893572,20,W10,em,t
67,12,8,143,0,0.049087385,8.37732,5.187,0,10,W10,em,t
67,13,5,121.5,0,0.068722339,9.174773,4.349,19.63495408,10,W10,em,t
67,14,7,156,0,0.237582944,10.36481,4.31,0,0,W16,em,t
67,15,2,75,0,0.019634954,4.293547,5.232,0,0,W16,em,t
67,16,7,118,,1.223257639,5.322592,5.199,47.1238898,,W16,em,t
68,1,24,73.5,3,0.300414797,7.504182,5.911,121.7367153,2,W6,d,w
68,2,13,14.5,1,4.072289477,7.496988,4.828,54.97787144,2,W10,em,t
68,3,26,73,5,1.967422399,10.10395,6.157,137.4446786,2,W6,d,w
68,4,34,86,3,1.132936851,8.619843,6.054,94.24777961,3,W6,d,w
68,5,16,33.5,1,2.405281875,5.466835,4.948,58.90486225,3,W21,am,o
68,6,14,20,2,2.089159115,8.22081,5.091,98.17477042,2,OV27,am,o
