Site,Plot,Nest,cover,Amalgams,Yr
3,13,2,50.0,920952.0,1
3,13,2,50.0,920983.0,1
3,13,1,95.0,9101619.0,1
3,13,3,50.0,9201687.0,1
3,13,1,50.0,9201728.0,1
3,13,4,100.0,9202136.0,1
3,13,2,50.0,9204445.0,1
3,13,3,50.0,9205155.0,1
3,13,1,100.0,200001583.0,1
3,14,3,50.0,9205.0,1
3,14,1,50.0,910665.0,1
3,14,1,50.0,920477.0,1
3,14,2,50.0,920628.0,1
3,14,2,100.0,920983.0,1
3,14,1,95.0,9101619.0,1
3,14,1,100.0,9201188.0,1
3,14,3,50.0,9201687.0,1
3,14,2,100.0,9201728.0,1
3,14,2,100.0,9202136.0,1
3,14,1,100.0,200001583.0,1
3,15,1,5.0,920477.0,1
3,15,1,100.0,920640.0,1
3,15,1,50.0,920983.0,1
3,15,1,100.0,9101619.0,1
3,15,1,5.0,9201728.0,1
3,15,2,100.0,200001583.0,1
3,16,5,50.0,92035.0,1
3,16,5,50.0,920121.0,1
3,16,1,50.0,920477.0,1
3,16,2,100.0,920628.0,1
3,16,2,100.0,920640.0,1
3,16,5,50.0,920726.0,1
3,16,5,50.0,920878.0,1
3,16,2,100.0,920983.0,1
3,16,1,95.0,9101619.0,1
3,16,1,100.0,9201728.0,1
3,16,5,50.0,9202136.0,1
3,16,1,100.0,9204445.0,1
3,16,3,50.0,200001583.0,1
3,16,1,100.0,200001670.0,1
4,1,1,50.0,9205.0,1
4,1,3,50.0,92075.0,1
