BRC names,BRC number,Woody
Cirriphyllum piliferum,820157,
Cirriphyllum sp,200001165,
Cirsium acaule,920514,
Cirsium arvense,920515,
Cirsium dissectum,920516,
Cirsium eriophorum,920517,
Cirsium heterophyllum,920518,
Cirsium oleraceum,920519,
Cirsium palustre,920520,
Cirsium sp.,9204807,
Cirsium tuberosum,920521,
Cirsium vulgare,920522,
Cladium mariscus,920523,
Cladonia acuminata,5502858,
Cladonia alcicornis,5505226,
Cladonia alpestris,5505300,
Cladonia alpicola,5505324,
Cladonia amaurocraea,5502859,
Cladonia arbuscula,5502860,
Cladonia bacillaris,5502861,
Cladonia bellidiflora,5502862,
Cladonia caespiticia,5502864,
Cladonia cariosa,5502865,
Cladonia carneola,5502866,
Cladonia cenotea,5502867,
Cladonia cervicornis,5502868,
Cladonia cf.coccifera,5505338,
Cladonia cf.polydactyla,5505246,
Cladonia cf.subcervicornis,5505339,
Cladonia chlorophaea,5502870,
Cladonia chlorophaea agg.,5505327,
Cladonia ciliata,5502871,
Cladonia coccifera,5502873,
Cladonia coniocraea,5502874,
Cladonia conista,5505301,
Cladonia convoluta,5502875,
Cladonia cornuta,5502876,
Cladonia crispata,5502877,
Cladonia crispata var.cetrariiformis,5502878,
Cladonia cyathomorpha,5502880,
Cladonia deformis,5502881,
Cladonia degenerans,5505302,
Cladonia delessertii,5505349,
Cladonia destricta,5505334,
Cladonia digitata,5502882,
Cladonia ecmocyna,5505340,
Cladonia fimbriata,5502883,
Cladonia floerkeana,5502885,
Cladonia foliacea,5502886,
Cladonia furcata,5502888,
Cladonia glauca,5502890,
Cladonia gonecha,5505303,
Cladonia gracilis,5502891,
Cladonia impexa,5505304,
Cladonia incrassata,5502894,
Cladonia leucophaea,5505305,
Cladonia luteoalba,5502895,
Cladonia macilenta,5502896,
Cladonia macrophylla,5502897,
Cladonia mitis,5502902,
Cladonia nylanderi,5505306,
Cladonia ochrochlora,5502903,
Cladonia papillaria,5505307,
Cladonia parasitica,5502904,
Cladonia pityrea,5505308,
Cladonia pocillum,5502908,
Cladonia polydactyla,5502909,
Cladonia portentosa,5502910,
Cladonia pyxidata,5502912,
Cladonia pyxidata/coccifera,20000106,
Cladonia pyxidata/fimbriata,5505252,
Cladonia ramulosa,5502913,
Cladonia rangiferina,5502914,
Cladonia rangiformis,5502915,
Cladonia scabriuscula,5505309,
Cladonia sp.,5505962,
Cladonia squamosa,5502919,
Cladonia squamosa var.allosquamosa,5505247,
Cladonia squamules/sp,5505253,
Cladonia strepsilis,5502923,
Cladonia subcervicornis,5502925,
Cladonia subrangiformis,5505285,
Cladonia subsquamosa,5505286,
Cladonia subulata,5502926,
Cladonia tenuis,5505322,
Cladonia turgida,5502929,
Cladonia uncialis,5502931,
Cladonia verticillata,5505287,
Cladonia verticillata var.cervicornis,5505336,
Cladopodiella fluitans,810739,
Cladopodiella francisci,810740,
Claytonia perfoliata,920525,
Claytonia sibirica,920524,
Clematis vitalba,920528,
Climacium dendroides,820158,
Clinopodium acinos,92012,
Clinopodium ascendens,920296,
Clinopodium calamintha,920298,
Clinopodium menthifolium,920297,
Clinopodium vulgare,920530,
Cochlearia anglica,920532,
Cochlearia danica,920533,
