SITE,PLOT,y71,y03,diff
29,8,0.021598449,1.998838326,1.977239876
29,9,2.703733177,,
29,10,3.118030709,0.090320789,-3.02770992
29,11,0.001963495,3.559817176,3.55785368
29,12,1.205586181,0.420188017,-0.785398163
29,13,2.76263804,2.004728812,-0.757909228
29,14,2.71551415,0.070685835,-2.644828315
29,15,2.699806187,0.524253274,-2.175552913
29,16,2.059706684,0.141371669,-1.918335014
30,1,0.775580686,0.484983366,-0.29059732
30,2,1.113301897,2.544690049,1.431388153
30,3,2.024363766,1.433351648,-0.591012118
30,4,2.540763059,0.310232275,-2.230530784
30,5,1.460840584,0.7696902,-0.691150384
30,6,1.443169125,0.793252145,-0.64991698
30,7,0.449640449,1.038689071,0.589048623
30,8,0.732383787,0.805033117,0.07264933
30,9,0.178678082,0.255254403,0.076576321
30,10,0.748091751,1.625774198,0.877682448
30,11,0.830558558,0.946404787,0.115846229
30,12,2.063633674,0.058904862,-2.004728812
30,13,2.218749812,1.189878218,-1.028871594
30,14,0.486946861,,
30,15,0.901244392,0.137444679,-0.763799714
30,16,0.001963495,2.175552913,2.173589417
31,1,1.651299639,2.385646921,0.734347283
31,2,1.005309649,0.877682448,-0.127627202
31,3,1.12900986,0.657770962,-0.471238898
31,4,0.657770962,1.918335014,1.260564052
31,5,0.373064128,0.294524311,-0.078539816
31,6,0.408407045,0.288633825,-0.11977322
31,7,0.455530935,0.021598449,-0.433932485
31,8,0.952295273,0.750055246,-0.202240027
31,9,2.964878067,1.735729941,-1.229148126
31,10,0.206167018,1.798561794,1.592394776
31,11,0.471238898,0.35931966,-0.111919238
31,12,0.416261027,0.687223393,0.270962366
31,13,1.27430852,6.48738883,5.21308031
31,14,1.293943474,0.74416476,-0.549778714
31,15,0.594939109,0.125663706,-0.469275403
31,16,1.877101611,0.736310778,-1.140790832
32,1,1.613993226,1.835868207,0.221874981
32,2,0.954258769,0.461421421,-0.492837348
32,3,1.407826208,1.788744317,0.380918109
32,4,0.948368282,1.032798585,0.084430303
32,5,0.07264933,2.087195619,2.014546289
32,6,0.944441291,1.111338401,0.16689711
32,7,2.087195619,0.545851724,-1.541343896
32,8,1.215403658,1.03476208,-0.180641578
32,9,1.737693437,1.708241005,-0.029452431
32,10,1.566869336,0.003926991,-1.562942345
32,11,1.050470044,0.164933614,-0.885536429
32,12,1.193805208,1.504037483,0.310232275
32,13,1.853539666,1.914408023,0.060868358
32,14,1.665044106,1.205586181,-0.459457926
32,15,1.460840584,3.919136835,2.458296251
32,16,0.895353906,1.602212253,0.706858347
33,1,1.543307391,1.021017612,-0.522289779
33,2,3.284927818,4.594579256,1.309651437
33,3,,1.348921346,
33,4,3.921100331,5.228788273,1.307687942
33,5,1.388191254,0.249363917,-1.138827337
33,6,,0.934623814,
33,7,3.758130212,2.59574093,-1.162389282
33,8,5.837471849,1.24878308,-4.58868877
33,9,1.00923664,1.392118245,0.382881605
33,10,,3.587306111,
33,11,2.246238747,3.976078202,1.729839455
33,12,2.931498645,4.891067063,1.959568418
33,13,,1.916371519,
33,14,2.422953334,2.022400271,-0.400553063
33,15,4.038910055,4.031056074,-0.007853982
33,16,,4.050691028,
34,1,3.388993075,2.583959958,-0.805033117
34,2,3.010038461,3.110176727,0.100138266
34,3,1.007273145,1.543307391,0.536034247
34,4,1.545270886,1.398008731,-0.147262156
34,5,2.277654674,1.127046364,-1.150608309
34,6,1.525635932,1.94582395,0.420188017
34,7,0.07264933,1.429424657,1.356775327
34,8,0.278816348,0.767726705,0.488910357
34,9,0.322013247,2.220713307,1.89870006
34,10,1.941896959,0.282743339,-1.65915362
34,11,1.17613375,2.124502032,0.948368282
34,12,1.168279768,1.56097885,0.392699082
34,13,1.280199006,1.24878308,-0.031415927
34,14,1.435315144,1.549197877,0.113882734
34,15,1.60810274,2.205005344,0.596902604
34,16,1.80445228,2.744966581,0.940514301
35,1,0.023561945,0.005890486,-0.017671459
35,2,0.272925862,0.259181394,-0.013744468
35,3,1.454950098,0.645989989,-0.808960108
35,4,1.062251016,2.23642127,1.174170254
35,5,0.541924733,3.233876938,2.691952205
35,6,0.443749962,0.740237769,0.296487807
35,7,0.561559687,0.869828466,0.308268779
35,8,0.21794799,0.392699082,0.174751091
35,9,1.987057353,0.512472302,-1.474585052
35,10,1.533489914,0.846266521,-0.687223393
35,11,0.867864971,3.443970946,2.576105976
35,12,0.545851724,0.402516559,-0.143335165
35,13,3.330088213,4.072289477,0.742201264
35,14,0.820741081,0.824668072,0.003926991
35,15,1.871211124,0.396626073,-1.474585052
35,16,0.797179136,1.598285263,0.801106127
36,1,1.158462291,0.91106187,-0.247400421
36,2,1.341067364,2.311034096,0.969966732
36,3,0.871791961,1.629701189,0.757909228
36,4,0.695077375,0.891426915,0.196349541
36,5,1.370519795,2.466150233,1.095630438
36,6,1.745547418,1.052433539,-0.693113879
36,7,1.623810703,1.451023107,-0.172787596
36,8,1.615956721,0.891426915,-0.724529806
36,9,0.893390411,0.746128255,-0.147262156
36,10,0.858047494,2.825469893,1.967422399
36,11,1.757328391,0.496764338,-1.260564052
36,12,,1.985093858,
36,13,0.323976742,0.651880476,0.327903733
36,14,0.373064128,0.775580686,0.402516559
36,15,0.188495559,1.822123739,1.63362818
36,16,0.850193512,,
37,1,0.141371669,0.714712329,0.573340659
37,2,0.09424778,0.153152642,0.058904862
37,3,0.567450173,0.463384916,-0.104065257
37,4,1.568832831,0.176714587,-1.392118245
37,5,0.276852853,1.313578428,1.036725576
37,6,1.005309649,0.508545311,-0.496764338
37,7,0.168860605,0.257217899,0.088357293
37,8,0.331830724,0.441786467,0.109955743
37,9,0.233655954,1.207549676,0.973893723
37,10,1.087776456,1.527599428,0.439822972
37,11,1.191841713,1.537416905,0.345575192
37,12,0.333794219,1.702350519,1.3685563
37,13,0.394662577,0.500691329,0.106028752
37,14,0.435895981,1.63362818,1.197732199
37,15,0.292560816,0.891426915,0.5988661
37,16,0.376991118,1.17613375,0.799142631
38,1,0.282743339,0.186532064,-0.096211275
38,2,0.930696824,1.398008731,0.467311907
38,3,0.789325154,6.750497214,5.96117206
38,4,1.476548547,6.616979527,5.140430979
38,5,3.603014075,4.072289477,0.469275403
38,6,1.649336143,3.553926689,1.904590546
38,7,3.551963194,1.370519795,-2.181443399
38,8,0.390735586,4.457134577,4.066398991
38,9,1.178097245,,
38,10,2.328705554,0.699004365,-1.629701189
38,11,1.407826208,4.172427743,2.764601535
38,12,1.142754328,3.634430001,2.491675673
38,13,2.212859325,2.93346214,0.720602815
38,14,0.435895981,1.531526419,1.095630438
38,15,0.716675824,1.311614933,0.594939109
38,16,0.541924733,3.60497757,3.063052837
39,1,0.579231146,2.216786316,1.637555171
39,2,0.484983366,0.441786467,-0.043196899
39,4,0.534070751,,
39,5,0.398589568,0.003926991,-0.394662577
39,6,1.105447915,0.001963495,-1.10348442
39,7,0.865901475,,
39,8,0.11977322,,
39,10,0.708821842,,
39,11,0.893390411,,
39,12,1.454950098,,
39,13,0.822704576,,
39,14,0.255254403,,
39,15,0.043196899,,
40,1,0.074612826,0.070685835,-0.003926991
40,2,0.806996613,0.14529866,-0.661697953
40,3,0.392699082,0.308268779,-0.084430303
40,4,0.355392669,0.810923604,0.455530935
40,5,0.318086256,0.204203522,-0.113882734
40,6,0.537997742,0.363246651,-0.174751091
40,7,0.214021,0.09817477,-0.115846229
40,8,0.909098374,1.378373777,0.469275403
40,9,0.420188017,0.180641578,-0.23954644
40,10,0.905171383,2.267837197,1.362665813
40,11,1.109374906,0.977820713,-0.131554192
40,12,0.822704576,0.730420292,-0.092284284
40,13,0.147262156,0.832522053,0.685259898
40,14,0.471238898,0.681332907,0.210094009
40,15,0.182605073,1.158462291,0.975857218
40,16,0.537997742,1.119192383,0.581194641
41,1,0.630282026,0.91498886,0.284706834
41,2,2.053816197,0.846266521,-1.207549676
41,3,0.916952356,0.263108385,-0.653843971
41,4,1.160425786,0.706858347,-0.453567439
41,5,2.059706684,0.215984495,-1.843722189
41,6,0.416261027,2.071487656,1.655226629
41,7,0.891426915,3.45967891,2.568251994
41,8,0.382881605,1.022981108,0.640099503
41,9,1.015127126,4.125303853,3.110176727
41,10,0.068722339,3.946625771,3.877903432
41,11,0.84233953,1.207549676,0.365210146
41,12,,1.337140373,
41,13,1.1545353,3.00218448,1.847649179
41,14,0.001963495,1.712167996,1.710204501
41,15,,1.244856089,
41,16,0.445713458,1.27430852,0.828595062
