SITE,PLOT,NVC,Yr
56,7,W21,1
56,8,OV27d,1
56,9,W10,1
56,10,W10a,1
56,11,W16b,1
56,12,U16c,1
56,13,W10c,1
56,14,W10c,1
56,15,W6,1
56,16,W8,1
57,1,W8d,1
57,2,MG9,1
57,3,W10,1
57,4,W10c,1
57,5,OV27,1
57,6,W8e,1
57,7,MG7A,1
57,8,W10,1
57,9,W10d,1
57,10,W8d,1
57,11,OV28,1
57,12,OV27,1
57,13,W8e,1
57,14,W10c,1
57,15,W21,1
57,16,W8e,1
58,1,W6,1
58,2,W10,1
58,3,W10,1
58,4,W10,1
58,5,W10,1
58,6,W10,1
58,7,W10,1
58,8,OV27,1
58,9,W10,1
58,10,W10c,1
58,11,W10c,1
58,12,W10d,1
58,13,W10,1
58,14,W10,1
58,15,W4,1
58,16,W6,1
59,1,W10,1
59,2,W14,1
59,3,W6,1
59,4,MG10a,1
59,5,W1,1
59,6,W4,1
59,7,W4,1
59,8,OV27,1
59,9,W6,1
59,10,W1,1
59,11,S11,1
59,12,OV26a,1
59,13,S5,1
59,14,S4,1
59,15,S11,1
59,16,OV26,1
60,1,W8e,1
60,2,W8e,1
60,3,W8e,1
60,4,W8e,1
60,5,OV27d,1
60,6,W8e,1
60,7,OV27d,1
60,8,W10c,1
60,9,W10d,1
60,10,W10,1
60,11,W8d,1
60,12,W8e,1
60,13,W10c,1
60,14,W10,1
60,15,W8e,1
60,16,W10,1
61,1,W10d,1
61,2,W10c,1
61,3,W10c,1
61,4,W10d,1
61,5,W10c,1
61,6,W10d,1
61,7,W10d,1
61,8,W10,1
61,9,OV27,1
61,10,OV27,1
61,11,W10d,1
61,12,W10d,1
61,13,W10a,1
61,14,W10,1
61,15,W10a,1
61,16,W10d,1
62,1,W10d,1
62,2,W10d,1
62,3,W10d,1
62,4,OV27d,1
62,5,W10d,1
62,6,W10d,1
62,7,W10d,1
62,8,W10d,1
62,9,W10d,1
62,10,W10,1
62,11,W10,1
62,12,W10,1
62,13,W10c,1
62,14,W10a,1
62,15,W10,1
62,16,W10,1
63,1,W10,1
63,2,W21,1
63,3,W10,1
63,4,W8e,1
63,5,W10,1
63,6,W6,1
63,7,W8d,1
63,8,W6,1
63,9,W14,1
63,10,W8e,1
63,11,W8d,1
63,12,W10d,1
63,13,OV27d,1
63,14,OV27d,1
63,15,W10c,1
63,16,OV27,1
64,1,OV27,1
64,2,W10a,1
64,3,W10c,1
64,4,OV27,1
64,5,W10d,1
64,6,OV27d,1
64,7,OV27,1
64,8,OV27,1
64,9,OV27d,1
64,10,W10,1
64,11,W10d,1
64,12,W10d,1
64,13,W10d,1
64,14,OV27d,1
64,15,W10a,1
64,16,W10d,1
65,1,W21,1
65,2,W8e,1
65,3,OV27d,1
65,4,OV27d,1
65,5,W8e,1
65,6,W12a,1
65,7,W8e,1
65,8,OV27d,1
65,9,W8d,1
65,10,W8e,1
65,11,W8e,1
65,12,OV27d,1
65,13,OV27d,1
65,14,OV27d,1
65,15,W13,1
65,16,W10c,1
66,1,W6,1
66,2,MG7A,1
66,3,MG7A,1
66,4,MG10a,1
66,5,W10,1
66,6,W10a,1
66,7,W6,1
66,8,W6,1
66,9,W6,1
66,10,OV21,1
66,11,W6,1
66,12,W8e,1
66,13,S7,1
66,14,MG10a,1
66,15,W10,1
66,16,W6,1
67,1,W10c,1
67,2,S28,1
67,3,W10,1
67,4,OV27,1
