year,Plot,Nest,Site,Cove,BRC,BRC names,Woody
1,7,1,2,5.0,920404.0,Carex pendula,
1,7,1,2,1.0,920513.0,Circaea lutetiana,
1,7,1,2,0.5,920520.0,Cirsium palustre,
1,7,1,2,1.0,920695.0,Epilobium montanum,
1,7,1,2,1.0,920925.0,Geum urbanum,
1,7,1,2,0.5,9201014.0,Hypericum perforatum,
1,7,1,2,10.0,9201067.0,Juncus effusus,
1,7,1,2,0.5,9201207.0,Luzula pilosa,
1,7,1,2,0.5,9201210.0,Lychnis flos-cuculi,
1,7,1,2,0.5,9201225.0,Lysimachia vulgaris,
1,7,1,2,1.0,9201413.0,Oxalis acetosella,
1,7,1,2,0.5,9201660.0,Ranunculus repens,
1,7,1,2,0.5,9201705.0,Rosa seedling/sp,w
1,7,1,2,25.0,9201728.0,Rubus fruticosus agg.,
1,7,1,2,1.0,9201748.0,Rumex obtusifolius,
1,7,1,2,1.0,9202005.0,Stachys sylvatica,
1,7,2,2,1.0,92039.0,Agrostis stolonifera,
1,7,2,2,0.5,920421.0,Carex sylvatica,
1,7,2,2,5.0,920477.0,Chamerion angustifolium,
1,7,2,2,1.0,920627.0,Deschampsia cespitosa,
1,7,2,2,0.5,920838.0,Fragaria vesca,
1,7,2,2,0.5,920841.0,Fraxinus excelsior (c),w
1,7,2,2,1.0,920873.0,Galium aparine,
1,7,2,2,1.0,920882.0,Galium palustre,
1,7,2,2,0.5,920918.0,Geranium robertianum,
1,7,2,2,1.0,920952.0,Hedera helix,
1,7,2,2,1.0,9201188.0,Lonicera periclymenum,w
1,7,2,2,0.5,9201947.0,Solanum dulcamara,
1,7,2,2,1.0,9204445.0,Betula seedling/sp,w
1,7,2,2,1.0,200001595.0,Viola riviniana/reichenbiana,
1,7,3,2,1.0,920183.0,Galium odoratum,
1,7,3,2,0.5,920444.0,Centaurea nigra,
1,7,3,2,0.5,920931.0,Glechoma hederacea,
1,7,3,2,0.5,920983.0,Holcus lanatus,
1,7,3,2,1.0,9201819.0,Sanicula europaea,
1,7,3,2,0.5,9201867.0,Scrophularia nodosa,
1,7,3,2,1.0,200001593.0,Poa nemoralis/trivialis,
1,7,4,2,0.5,920569.0,Crataegus monogyna,w
1,7,5,2,0.5,920640.0,Digitalis purpurea,
1,8,1,2,5.0,920513.0,Circaea lutetiana,
1,8,1,2,25.0,920952.0,Hedera helix,
1,8,1,2,5.0,9201188.0,Lonicera periclymenum,w
1,8,1,2,0.5,9201207.0,Luzula pilosa,
1,8,1,2,5.0,9201728.0,Rubus fruticosus agg.,
1,8,1,2,15.0,9201819.0,Sanicula europaea,
1,8,2,2,1.0,92046.0,Ajuga reptans,
1,8,2,2,0.5,920705.0,Epipactis helleborine,
1,8,2,2,0.5,920841.0,Fraxinus excelsior (c),w
1,8,2,2,0.5,9201023.0,Ilex aquifolium,w
1,8,2,2,0.5,9201291.0,Mercurialis perennis,
1,8,2,2,0.5,9201413.0,Oxalis acetosella,
1,8,2,2,0.5,9201705.0,Rosa seedling/sp,w
1,8,2,2,1.0,9201951.0,Solidago virgaurea,
1,8,2,2,1.0,200001595.0,Viola riviniana/reichenbiana,
1,8,4,2,0.5,910665.0,Dryopteris filix-mas,
1,8,5,2,1.0,9201694.0,Ribes nigrum,
1,8,5,2,1.0,9201696.0,Ribes rubrum,
1,8,5,2,0.5,9202173.0,Veronica officinalis,
1,9,1,2,1.0,920309.0,Calluna vulgaris,
1,9,1,2,1.0,920628.0,Deschampsia flexuosa,
1,9,1,2,80.0,9101619.0,Pteridium aquilinum,
1,9,1,2,1.0,9201728.0,Rubus fruticosus agg.,
1,9,2,2,0.5,9201960.0,Sorbus aucuparia,w
1,9,2,2,0.5,9202136.0,Vaccinium myrtillus,
1,9,2,2,0.5,9204445.0,Betula seedling/sp,w
1,9,3,2,0.5,920477.0,Chamerion angustifolium,
1,10,1,2,15.0,9101619.0,Pteridium aquilinum,
1,10,1,2,40.0,9201188.0,Lonicera periclymenum,w
1,10,1,2,5.0,9201728.0,Rubus fruticosus agg.,
1,10,1,2,0.5,9204445.0,Betula seedling/sp,w
1,10,2,2,0.5,920628.0,Deschampsia flexuosa,
1,10,2,2,0.5,9204446.0,Quercus seedling/sp,w
1,10,4,2,0.5,920432.0,Castanea sativa,w
1,10,5,2,0.5,920309.0,Calluna vulgaris,
1,11,1,2,1.0,920628.0,Deschampsia flexuosa,
1,11,1,2,5.0,920952.0,Hedera helix,
1,11,1,2,40.0,9101619.0,Pteridium aquilinum,
1,11,1,2,5.0,9201188.0,Lonicera periclymenum,w
1,11,1,2,60.0,9201728.0,Rubus fruticosus agg.,
1,11,2,2,0.5,9201960.0,Sorbus aucuparia,w
1,11,3,2,1.0,92040.0,Agrostis capillaris,
1,11,4,2,0.5,9201023.0,Ilex aquifolium,w
1,11,5,2,0.5,910244.0,Blechnum spicant,
1,11,5,2,0.5,9201729.0,Rubus idaeus,
1,12,1,2,1.0,920952.0,Hedera helix,
1,12,1,2,0.5,9101619.0,Pteridium aquilinum,
